title,theme,question,answer
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,"Могу ли я, как участник СВО, переводить деньги без комиссии?","Банк России рекомендовал банкам снизить или отменить комиссии за переводы со счета участника СВО членам его семьи и за снятие наличных со счетов участников СВО и членов их семей.
Банки самостоятельно устанавливают порядок реализации этих мер поддержки. Согласно рекомендациям Банка России, военнослужащий должен иметь возможность в доступной для него форме или через представителя сообщить банку о наличии оснований для сниженных комиссий и о том, на кого из членов семьи они должны распространяться."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,Что такое кредитные каникулы для мобилизованных и участников СВО? По каким кредитам мобилизованные и другие участники СВО могут получить кредитные каникулы?,"Кредитные каникулы позволяют заемщику, который является участником СВО или членом его семьи, временно приостановить платежи по кредиту или займу. При этом приостанавливаются платежи и всех созаемщиков участника СВО и членов его семьи. Кредитор (банк, МФО, КПК, СКПК, ломбард) не имеет права отказать в предоставлении кредитных каникул, если заемщик проходит по критериям закона.
Участники СВО могут получить кредитные каникулы по всем потребительским кредитам и займам (включая ипотеку, а также кредитные карты), которые заемщик взял до мобилизации или начала участия в СВО.
Также кредитные каникулы распространяются на все кредиты и займы, взятые индивидуальными предпринимателями (в том числе на предпринимательские цели), которые были мобилизованы или участвуют в СВО как добровольцы.
Размер кредита и займа, а также их количество не имеют значения.
Вместе с тем кредитные каникулы не распространяются на кредиты и займы, взятые на предпринимательские цели членами семьи военнослужащего, которые зарегистрированы в качестве индивидуальных предпринимателей."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,Кто имеет право на кредитные каникулы?,"Кредитные каникулы для участников СВО по ранее взятым кредитам и займам могут получить:

военнослужащие, мобилизованные в Вооруженные силы,
военнослужащие, проходящие службу в Вооруженных силах по контракту, а также в войсках национальной гвардии;
сотрудники спасательных воинских формирований МЧС, военной прокуратуры и других органов, указанных в пункте 6 статьи 1 Федерального закона № 61-ФЗ «Об обороне»;
сотрудники пограничной службы, находящиеся на территории России и обеспечивающие проведение специальной военной операции;
добровольцы (лица, заключившие контракты о добровольном содействии в выполнении задач, возложенных на Вооруженные силы).

Члены семей указанных лиц также имеют право оформить кредитные каникулы по своим кредитам и займам, которые они взяли ранее — до дня мобилизации (для членов семей мобилизованных) или до начала участия военнослужащего в специальной военной операции, либо до подписания контракта добровольцем."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,"Кто относится к членам семьи мобилизованного, другого участника СВО?","супруга (супруг);
несовершеннолетние дети;
дети старше 18 лет, ставшие инвалидами до достижения ими возраста 18 лет;
дети в возрасте до 23 лет, обучающиеся в образовательных организациях по очной форме;
лица, находящиеся на иждивении военнослужащих."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,Кредитные каникулы мобилизованным и другим участникам СВО предоставляются автоматически?,"Нет, кредитные каникулы предоставляются по заявлению заемщика."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,По каким кредитам мобилизованные и другие участники СВО могут получить кредитные каникулы?,"По всем потребительским кредитам и займам (включая ипотеку, а также кредитные карты), которые заемщик взял до мобилизации или начала участия в СВО.
Также кредитные каникулы распространяются на все кредиты и займы, взятые индивидуальными предпринимателями (в том числе на предпринимательские цели), которые были мобилизованы или участвуют в СВО как добровольцы.
Размер кредита и займа, а также их количество не имеют значения.
Вместе с тем кредитные каникулы не распространяются на кредиты и займы, взятые на предпринимательские цели членами семьи военнослужащего, которые зарегистрированы в качестве индивидуальных предпринимателей."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,На какой срок предоставляются кредитные каникулы?,"Кредитные каникулы предоставляются мобилизованным и другим участникам СВО на срок службы по мобилизации, контракту или участия в СВО и плюс 30 дней.Кредитные каникулы могут быть продлены на время, пока заемщик находится в стационаре на излечении от ранений, травм, контузий или заболеваний, полученных в ходе специальной военной операции, а также на время, пока участник СВО признан безвестно отсутствующим.При этом кредитные каникулы не могут начинаться ранее 21 сентября 2022 года, а по кредитным картам — ранее даты обращения с требованием о каникулах."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,Можно ли оформить кредитные каникулы «задним числом»?,"Да, мобилизованный или другой участник СВО вправе направить требование о кредитных каникулах в любой момент до 31 декабря 2024 года и определить их началом любую дату, начиная с 21 сентября 2022 года, но не ранее даты мобилизации или начала участия в СВО (за одним исключением — каникулы по кредитным картам начинаются не ранее даты подачи требования).
Все начисленные с указанной заемщиком даты проценты пересчитываются по правилам их расчета в период кредитных каникул, а начисленные пени (штрафы, неустойки) за этот период отменяются."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,Можно ли выйти из кредитных каникул досрочно?,"Прервать кредитные каникулы (вернуться в график платежей) можно в любой момент — достаточно уведомить об этом кредитора.
А можно не прерывать кредитные каникулы и при этом вносить посильные платежи — они пойдут на погашение основного долга, и после окончания каникул будет начислено меньше процентов."
Актуальные вопросы работы финансовой системы,Меры поддержки мобилизованных и участников СВО,Когда можно обращаться за кредитными каникулами?,"По закону о кредитных каникулах для участников СВО и членов их семей (закон № 377-ФЗ) за ними можно обратиться в любой момент до 31 декабря 2024 года пока действует кредитный договор либо договор займа.
Также с 1 января 2024 года кредитные каникулы можно получить по любому кредиту или займу, выданному как до этой даты, так и после. Срок обращения больше не ограничивается.
Если участник СВО уже оформлял кредитные каникулы по закону № 377-ФЗ, то при необходимости он сможет сделать еще раз по новому закону."
